# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	COG cat	eggNOG annot
Mcavernosa09333	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa09334	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa09330	T	tetratricopeptide repeat
Mcavernosa09329	T	tetratricopeptide repeat
Mcavernosa09338	A	WD domain, G-beta repeat
Mcavernosa09337	T	calmodulin
Mcavernosa09336	T	tetratricopeptide repeat
Mcavernosa09340	T	calmodulin
Mcavernosa09339	T	calmodulin
Mcavernosa09350	O	Cullin 3
Mcavernosa09358	S	Zinc finger, DHHC-type containing 23
Mcavernosa09353	D, Z	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein
Mcavernosa09359	O	autophagy related 4B, cysteine peptidase
Mcavernosa09357	T	Glycogen synthase kinase
Mcavernosa09355	W	follistatin-like 1
Mcavernosa09363	E	Angiotensin I converting enzyme peptidyl-dipeptidase A
Mcavernosa09362	K	Zic family member
Mcavernosa09354	L	double-strand break repair protein
Mcavernosa09367	S	NA
Mcavernosa09378	I	alkaline ceramidase
Mcavernosa09376	I	alkaline ceramidase
Mcavernosa09369	K	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Mcavernosa09373	K	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Mcavernosa09366	J	Ribosomal protein
Mcavernosa09368	K	RNA polymerase II, TATA box binding protein (TBP)-associated factor
Mcavernosa09375	O	26S protease regulatory subunit
Mcavernosa09371	T	discs large homolog
Mcavernosa09383	S	protein Hydra magnipapillata
Mcavernosa09386	G	beta-galactosidase
Mcavernosa09379	E, G	(Alpha (1,3) fucosyltransferase
Mcavernosa09385	G	beta-galactosidase
Mcavernosa09381	S	NA
Mcavernosa09382	S	protein Hydra magnipapillata
Mcavernosa09393	S	NA
Mcavernosa09401	S	protein Hydra magnipapillata
Mcavernosa09397	O, P	glutamate carboxypeptidase
Mcavernosa09399	O, P	glutamate carboxypeptidase
Mcavernosa09395	O, P	glutamate carboxypeptidase
Mcavernosa09398	O, P	glutamate carboxypeptidase
Mcavernosa09390	L	Ankyrin repeat and zinc finger domain containing 1
Mcavernosa09392	L	DNA mismatch repair protein
Mcavernosa09402	S	NA
Mcavernosa09407	T	glutamate receptor, metabotropic
Mcavernosa09412	T	erythrocyte membrane protein band 4.1-like
Mcavernosa09403	T	Kv channel interacting protein
Mcavernosa09410	L	Zinc finger, NFX1-type containing 1
Mcavernosa09411	T	erythrocyte membrane protein band 4.1-like
Mcavernosa09413	G	calcineurin-like phosphoesterase domain containing 1
Mcavernosa09409	L	Zinc finger, NFX1-type containing 1
Mcavernosa09414	S	serine active site containing 1
Mcavernosa09416	O	MAM domain containing 4
Mcavernosa09418	K	Msh homeobox
Mcavernosa09420	S	BTB (POZ) domain containing 16
Mcavernosa09419	K	homeobox
Mcavernosa09422	S	BTB (POZ) domain containing 16
Mcavernosa09425	K	homeobox
Mcavernosa09430	I	patatin-like phospholipase domain containing 8
Mcavernosa09428	S	TBC1 domain family, member 7
Mcavernosa09435	T	cadherin, EGF LAG seven-pass G-type receptor
Mcavernosa09436	T	cadherin, EGF LAG seven-pass G-type receptor
Mcavernosa09431	O	PDZ domain containing RING finger
Mcavernosa09432	T, W	LATrophilin
Mcavernosa09443	Q	Dehydrogenase
Mcavernosa09448	M	PGA_cap
Mcavernosa09446	M	PGA_cap
Mcavernosa09459	T	Signal peptide, CUB domain, EGF-like
Mcavernosa09460	T	low density lipoprotein
Mcavernosa09455	U	trafficking protein particle complex
Mcavernosa09451	S	Pericentriolar material 1
Mcavernosa09461	S	nucleolar protein 8
Mcavernosa09457	T	Calcium-binding EGF domain
Mcavernosa09464	S	KAZAL
Mcavernosa09462	S	nucleolar protein 8
Mcavernosa09475	U	mitochondrial import inner membrane, translocase subunit
Mcavernosa09479	L	PAX interacting (with transcription-activation domain) protein 1
Mcavernosa09476	S	KAZAL
Mcavernosa09481	T	v-mos Moloney murine sarcoma viral oncogene homolog
Mcavernosa09480	L	PARP1 binding protein
Mcavernosa09483	O	ubiquitin-conjugating enzyme
Mcavernosa09491	T	Neural cell adhesion molecule 1
Mcavernosa09498	K	transcription factor
Mcavernosa09496	S	growth regulation by estrogen in breast
Mcavernosa09493	A	tRNA selenocysteine 1 associated protein 1
Mcavernosa09494	A	tRNA selenocysteine 1 associated protein 1
Mcavernosa09501	S	KAZAL
Mcavernosa09507	S	NA
Mcavernosa09510	S	NA
Mcavernosa09509	S	NA
Mcavernosa09511	U	Ras-related protein
Mcavernosa09512	S	Coiled-coil domain containing 33
Mcavernosa09538	S	Plays a central role during spermatogenesis by repressing transposable elements and prevent their mobilization, which is essential for the germline integrity. Acts via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and govern the methylation and subsequent repression of transposons. Its association with pi-bodies suggests a participation in the primary piRNAs metabolic process. Required prior to the pachytene stage to facilitate the production of multiple types of piRNAs, including those associated with repeats involved in regulation of retrotransposons. May act by mediating protein-protein interactions during germ cell maturation
Mcavernosa09533	Z	Kinesin light chain
Mcavernosa09536	T	guanine nucleotide exchange factor
Mcavernosa09534	T	guanine nucleotide exchange factor
Mcavernosa09530	P, T	polycystic kidney disease 1-like 2
Mcavernosa09535	Z	Kinesin light chain
Mcavernosa09540	S	Plays a central role during spermatogenesis by repressing transposable elements and prevent their mobilization, which is essential for the germline integrity. Acts via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and govern the methylation and subsequent repression of transposons. Its association with pi-bodies suggests a participation in the primary piRNAs metabolic process. Required prior to the pachytene stage to facilitate the production of multiple types of piRNAs, including those associated with repeats involved in regulation of retrotransposons. May act by mediating protein-protein interactions during germ cell maturation
Mcavernosa09544	T	Gamma-aminobutyric acid (GABA) B receptor
Mcavernosa09547	S	NA
Mcavernosa09549	S	Lin-37 homolog (C. elegans)
Mcavernosa09539	Q	Dehydrogenase
Mcavernosa09546	S	NA
Mcavernosa09542	G	GlcNAc 6-P deacetylase
Mcavernosa09545	P	Potassium voltage-gated channel, subfamily H (Eag-related), member
Mcavernosa09554	K	asunder, spermatogenesis regulator homolog (Drosphila)
Mcavernosa09551	L	Dna repair
Mcavernosa09556	S	Chromosome 17 open reading frame 70
Mcavernosa09553	T	Pleckstrin 2
Mcavernosa09567	I	phospholipase A2 group
Mcavernosa09565	I	phospholipase A2 group
Mcavernosa09571	O	Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)
Mcavernosa09577	S	coiled-coil domain containing 142
Mcavernosa09576	S	Reactive oxygen species modulator 1
Mcavernosa09573	U	TBC1 domain family member
Mcavernosa09570	I	phospholipase A2 group
Mcavernosa09575	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate (By similarity)
Mcavernosa09572	S	Chromosome 10 open reading frame 107
Mcavernosa09586	S	chromosome 20 open reading frame 194
Mcavernosa09590	L	DNA crosslink repair
Mcavernosa09580	Z	Inherit from NOG: Major vault protein
Mcavernosa09579	Z	Inherit from NOG: Major vault protein
Mcavernosa09584	S	chromosome 20 open reading frame 194
Mcavernosa09589	S	LRR
Mcavernosa09585	S	chromosome 20 open reading frame 194
Mcavernosa09578	K	SRY (Sex determining region Y)-box
Mcavernosa09591	Z	Inherit from NOG: Major vault protein
Mcavernosa09600	T	Plexin A2
Mcavernosa09601	T	Plexin A2
Mcavernosa09592	T	Sema
Mcavernosa09602	O	heat shock protein
Mcavernosa09617	B, T	HSPB (Heat shock 27kDa) associated protein 1
Mcavernosa09611	S	Hydra magnipapillata
Mcavernosa09609	G	Solute carrier family 37 (glycerol-3-phosphate transporter), member
Mcavernosa09615	Z	CDK5 regulatory subunit associated protein 2
Mcavernosa09619	L	DNA crosslink repair
Mcavernosa09618	A	FtsJ methyltransferase domain containing 1
Mcavernosa09603	G	phosphoglycerate kinase
Mcavernosa09631	Z	Kinesin family member
Mcavernosa09629	S	chromosome 12 open reading frame 57
Mcavernosa09623	S	Transmembrane protein 163
Mcavernosa09621	Z	CDK5 regulatory subunit associated protein 2
Mcavernosa09610	P	solute carrier family 37 (glycerol-3-phosphate transporter), member 3
Mcavernosa09608	G	phosphoglycerate kinase
Mcavernosa09614	A	PRP4 pre-mRNA processing factor 4 homolog B (yeast)
Mcavernosa09622	S	Transmembrane protein 163
Mcavernosa09630	C	Solute carrier family 25 (Mitochondrial thiamine pyrophosphate carrier), member 19
Mcavernosa09628	K	transcription initiation factor
Mcavernosa09627	K	transcription initiation factor
Mcavernosa09640	S	Golgin A3
Mcavernosa09635	J	Amidase
Mcavernosa09636	S	NA
Mcavernosa09633	Q	williams Beuren syndrome chromosome region
Mcavernosa09632	Z	Kinesin family member
Mcavernosa09637	J	Amidase
Mcavernosa09638	J	Amidase
Mcavernosa09641	G	glucuronidase, beta
Mcavernosa09645	U	Major facilitator superfamily
Mcavernosa09646	U	member RAS oncogene family
Mcavernosa09648	Q	UPF0676 protein C1494.01-like
Mcavernosa09649	D	Cyclin-Dependent Kinase
Mcavernosa09651	Q	UPF0676 protein C1494.01-like
Mcavernosa09653	Q	UPF0676 protein C1494.01-like
Mcavernosa09656	S	Pao retrotransposon peptidase 
Mcavernosa09662	S	Lectin C-type domain
Mcavernosa09663	Z	NA
Mcavernosa09664	O	OTU domain, ubiquitin aldehyde binding
Mcavernosa09666	T	ankyrin repeat
Mcavernosa09671	M	Ankyrin repeat
Mcavernosa09675	B	bromodomain adjacent to zinc finger domain
Mcavernosa09665	A	FtsJ RNA methyltransferase homolog 2 (E. coli)
Mcavernosa09674	K	TATA box binding protein
Mcavernosa09676	S	Neuronal pentraxin
Mcavernosa09685	S	NA
Mcavernosa09679	S	NA
Mcavernosa09687	S	NA
Mcavernosa09693	S	abhydrolase domain containing 14A
Mcavernosa09678	S	to transposase domain-containing protein
Mcavernosa09680	S	NA
Mcavernosa09698	O	RING finger protein
Mcavernosa09699	S	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)
Mcavernosa09695	S	doublecortin domain containing 5
Mcavernosa09696	S	NA
Mcavernosa09700	W	Lin-7 homolog
Mcavernosa09701	J	Eukaryotic translation initiation factor 4 gamma
Mcavernosa09694	S	abhydrolase domain containing 14A
Mcavernosa09692	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa09703	S	CD151 molecule (Raph blood group)
Mcavernosa09702	S	CD151 molecule (Raph blood group)
Mcavernosa09705	Z	Dynein, axonemal, intermediate chain 2
Mcavernosa09710	P	Solute carrier family 6
Mcavernosa09711	S	NA
Mcavernosa09718	T	Calcyphosine-like
Mcavernosa09719	F	glutamine amidotransferase
Mcavernosa09715	P	Solute carrier family 6
Mcavernosa09714	P	solute carrier family 6 (neurotransmitter transporter)
Mcavernosa09713	T	Sodium:neurotransmitter symporter family
Mcavernosa09712	P	solute carrier family 6 (neurotransmitter transporter)
Mcavernosa09726	N	Tctex1 domain containing
Mcavernosa09722	A	ELAV (embryonic lethal, abnormal vision, Drosophila)-like
Mcavernosa09734	I	epoxide hydrolase
Mcavernosa09733	K	General transcription factor IIF, polypeptide 1
Mcavernosa09732	T	Serine threonine-protein kinase
Mcavernosa09724	F	Catalyzes the reversible phosphorylation of S-methyl-5'- thioadenosine (MTA) to adenine and 5-methylthioribose-1-phosphate. Involved in the breakdown of MTA, a major by-product of polyamine biosynthesis. Responsible for the first step in the methionine salvage pathway after MTA has been generated from S- adenosylmethionine. Has broad substrate specificity with 6- aminopurine nucleosides as preferred substrates (By similarity)
Mcavernosa09731	Z	Dynein, cytoplasmic 2, light intermediate chain 1
Mcavernosa09725	N	Tctex1 domain containing
Mcavernosa09723	G	Arylsulfatase
Mcavernosa09721	F	glutamine amidotransferase
Mcavernosa09727	I, M	Ceramide glucosyltransferase
Mcavernosa09739	T	Calcyphosine-like
Mcavernosa09736	W	collagen, type
Mcavernosa09738	W	collagen, type XII, alpha 1
Mcavernosa09741	T	PTK7 protein tyrosine kinase 7
Mcavernosa09735	W	von Willebrand factor type A domain
Mcavernosa09737	W	collagen, type XII, alpha 1
Mcavernosa09745	G	Solute carrier family 37 (glycerol-3-phosphate transporter), member
Mcavernosa09747	K	Aristaless related homeobox
Mcavernosa09742	S	MULE transposase domain
Mcavernosa09744	S	chromosome 1 open reading frame 192
Mcavernosa09848	T	adrenoceptor beta
Mcavernosa09839	T	protein tyrosine phosphatase type IVA
Mcavernosa09847	T	adrenoceptor beta
Mcavernosa09835	C	aldehyde dehydrogenase 8 family, member A1
Mcavernosa09846	D	conserved hypothetical protein
Mcavernosa09840	O	Proteasome (Prosome, macropain) inhibitor subunit 1 (PI31)
Mcavernosa09849	S	coiled-coil domain containing 14
Mcavernosa09864	G, I	surfactant protein B
Mcavernosa09856	S	DEP domain containing
Mcavernosa09859	S	NA
Mcavernosa09857	L	DNA- binding protein
Mcavernosa09860	S	NA
Mcavernosa09861	T	t-complex 11
Mcavernosa09858	Q	Inherit from KOG: reductase
Mcavernosa09867	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa09868	O	Protein disulfide isomerase
Mcavernosa09869	C	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex
Mcavernosa09872	T	Casein Kinase
Mcavernosa09870	S	chromosome 19 open reading frame 45
Mcavernosa09865	T	neuralized homolog 4 (Drosophila)
Mcavernosa09866	T	neuralized homolog 4 (Drosophila)
Mcavernosa09879	S	tubulin polyglutamylase complex subunit 2
Mcavernosa09875	S	coiled-coil domain containing 171
Mcavernosa09881	S	chromosome 15 open reading frame 40
Mcavernosa09877	T	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Mcavernosa09883	T	LRRCT
Mcavernosa09885	T	Leucine rich repeat containing 15
Mcavernosa09891	T	Pentaxin family
Mcavernosa09895	T	Pentaxin family
Mcavernosa09889	T	Pentaxin family
Mcavernosa09892	T	Pentaxin family
Mcavernosa09893	T	HYR domain
Mcavernosa09896	T	Pentaxin family
Mcavernosa09898	S	Neuronal pentraxin
Mcavernosa09905	T	Tachykinin receptor
Mcavernosa09907	D	biorientation of chromosomes in cell division
Mcavernosa09910	C	solute carrier family 25 (mitochondrial iron transporter), member
Mcavernosa09914	P	Transient receptor potential cation channel subfamily C member
Mcavernosa09913	P	Transient receptor potential cation channel subfamily C member
Mcavernosa09911	S	fibronectin type III and ankyrin repeat domains 1
Mcavernosa09909	T	Suppressor of fused homolog (Drosophila)
Mcavernosa09906	U	member RAS oncogene family
Mcavernosa09912	S	WD repeat domain 11
Mcavernosa09931	K	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa
Mcavernosa09926	S	Chromosome 11 open reading frame 68
Mcavernosa09928	K	RNA binding motif protein
Mcavernosa09924	O	protease
Mcavernosa09927	Q	Dehydrogenase
Mcavernosa09947	E, H	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
Mcavernosa09943	S	NA
Mcavernosa09946	U	vacuolar protein sorting
Mcavernosa09939	C	solute carrier family 25 (mitochondrial carrier)
Mcavernosa09930	I	porcupine homolog (Drosophila)
Mcavernosa09932	P, T	Calcium channel, voltage-dependent, alpha 2 delta subunit
Mcavernosa09933	J	ER membrane protein complex subunit 3
Mcavernosa09952	O	Carboxypeptidase
Mcavernosa09953	S	NA
Mcavernosa09949	Q	Dehydrogenase
Mcavernosa09951	T	Cyclin-dependent kinase-like
Mcavernosa09950	W	Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
Mcavernosa09955	W	Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
Mcavernosa09956	T	Cyclin-dependent kinase-like
Mcavernosa09969	O	Meprin A, alpha (PABA peptide hydrolase)
Mcavernosa09976	T	glutamate receptor, metabotropic
Mcavernosa09979	S	NA
Mcavernosa09972	O	cop9 signalosome complex subunit
Mcavernosa09975	O	Meprin A, alpha (PABA peptide hydrolase)
Mcavernosa09981	L	Inherit from KOG: Retrotransposon protein
Mcavernosa09980	S	NA
Mcavernosa09986	S	NA
Mcavernosa09991	G	Inherit from euNOG: solute carrier family 17
Mcavernosa09990	G	Inherit from euNOG: solute carrier family 17
Mcavernosa10003	G	Glucosidase, alpha
Mcavernosa09994	S	Angio-associated, migratory cell protein
Mcavernosa10005	A	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
Mcavernosa10000	C	aldehyde dehydrogenase 6 family, member A1
Mcavernosa09996	T	suppressor of cytokine signaling
Mcavernosa10004	S	mirror-image polydactyly 1
Mcavernosa10006	P	solute carrier family 29 (nucleoside transporters), member
Mcavernosa09997	C	aldehyde dehydrogenase 6 family, member A1
Mcavernosa09998	C	methylmalonate-semialdehyde dehydrogenase acylating
Mcavernosa09999	C	aldehyde dehydrogenase 6 family, member A1
Mcavernosa10008	S	lin-52 homolog (C. elegans)
Mcavernosa10010	U	outer dense fiber of sperm tails 3-like 2
Mcavernosa10011	Q	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa10007	P	solute carrier family 29 (nucleoside transporters), member
Mcavernosa10016	Q	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa10013	Q	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa10041	T	Apoptosis-inducing factor, mitochondrion-associated, 1
Mcavernosa10038	S	glyoxalase domain containing 5
Mcavernosa10028	L	replication factor c
Mcavernosa10037	U	ER membrane protein complex subunit 7
Mcavernosa10039	S	Spermatogenesis associated 18
Mcavernosa10035	T	neuronal calcium sensor 1
Mcavernosa10040	S	Spermatogenesis associated 18
Mcavernosa10029	S	NA
Mcavernosa10032	T	Sprouty homolog 2 (Drosophila)
Mcavernosa10045	S	AIG1 family
Mcavernosa10044	S	AIG1 family
Mcavernosa10047	S	AIG1 family
Mcavernosa10046	S	AIG1 family
Mcavernosa10048	S	AIG1 family
Mcavernosa10042	S	Reverse transcriptase
Mcavernosa10049	S	AIG1 family
Mcavernosa10052	T	HYR domain
Mcavernosa10051	T	Pentaxin family
Mcavernosa10055	T	Neural cell adhesion molecule 1
Mcavernosa10056	S	F5/8 type C domain
Mcavernosa10057	T	protein tyrosine phosphatase receptor type
Mcavernosa10062	T	protein tyrosine phosphatase receptor type
Mcavernosa10059	S	NA
Mcavernosa10070	T	Protein tyrosine phosphatase receptor type
Mcavernosa10072	G	Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
Mcavernosa10069	T	protein tyrosine phosphatase receptor type
Mcavernosa10063	S	F5/8 type C domain
Mcavernosa10066	T	Protein tyrosine phosphatase
Mcavernosa10075	T	mitogen-activated protein kinase kinase kinase
Mcavernosa10077	I	Acyltransferase
Mcavernosa10079	L	topoisomerase
Mcavernosa10074	M	Ankyrin Repeat Protein
Mcavernosa10080	S	FA58C
Mcavernosa10081	S	chromosome 6 open reading frame 170
Mcavernosa10083	O, T	protein phosphatase 1, regulatory subunit
Mcavernosa10082	O, T	protein phosphatase 1, regulatory subunit
Mcavernosa10085	O, T	protein phosphatase 1, regulatory subunit
Mcavernosa10091	L	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex involved in cytoplasmic mRNA turnover. PAN specifically shortens poly(A) tails of RNA when the poly(A) stretch is bound by polyadenylate-binding protein PAB1. Deadenylation of the 3'-tail to a length that is too short to bind PAB1 induces mRNA decay. May also be involved in post- transcriptional maturation of mRNA poly(A) tails (By similarity)
Mcavernosa10092	L	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex involved in cytoplasmic mRNA turnover. PAN specifically shortens poly(A) tails of RNA when the poly(A) stretch is bound by polyadenylate-binding protein PAB1. Deadenylation of the 3'-tail to a length that is too short to bind PAB1 induces mRNA decay. May also be involved in post- transcriptional maturation of mRNA poly(A) tails (By similarity)
Mcavernosa10093	S	Protease-associated domain containing 1
Mcavernosa10090	U	sideroflexin 2
Mcavernosa10088	T	RIMS binding protein
Mcavernosa10094	G	potassium channel modulatory factor 1
Mcavernosa10097	P	Ligand-gated ion channel
Mcavernosa10100	P	Ion channel
Mcavernosa10096	P	Ligand-gated ion channel
Mcavernosa10098	S	MAC/Perforin domain
Mcavernosa10103	T	Unc51-like kinase
Mcavernosa10102	E	Gamma-glutamyltransferase
Mcavernosa10105	S	Heme binding protein 2
Mcavernosa10101	K	Nuclear receptor subfamily 2, group F, member
Mcavernosa10109	E	Proline dehydrogenase
Mcavernosa10117	E, O	aminopeptidase
Mcavernosa10118	O, T	protein phosphatase 1, regulatory subunit
Mcavernosa10111	O	O-fucosyltransferase 1
Mcavernosa10112	O	O-fucosyltransferase 1
Mcavernosa10120	O	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
Mcavernosa10113	O	O-fucosyltransferase 1
Mcavernosa10121	S	Rho-related BTB domain containing
Mcavernosa10123	T, V	NA
Mcavernosa10124	S	FA58C
Mcavernosa10147	B, K	family member
Mcavernosa10149	S	poly (ADP-ribose) polymerase family, member 10
Mcavernosa10156	P	BCCT family transporter
Mcavernosa10152	O	deltex 3-like (Drosophila)
Mcavernosa10157	E	Tryp_SPc
Mcavernosa10155	S	NA
Mcavernosa10166	T	receptor-like tyrosine kinase
Mcavernosa10167	O	Lysyl oxidase-like
Mcavernosa10161	S	Fibronectin type III domain containing
Mcavernosa10165	S	Protein of unknown function (DUF2034)
Mcavernosa10163	S	Fibronectin type III domain containing
Mcavernosa10168	G	Major facilitator superfamily
Mcavernosa10169	G	NA
Mcavernosa10178	S	NA
Mcavernosa10186	F	Dihydropyrimidinase-like
Mcavernosa10184	S	Protein of unknown function (DUF1399)
Mcavernosa10181	W	sushi domain containing 2
Mcavernosa10185	S	Protein of unknown function (DUF1399)
Mcavernosa10189	S	NA
Mcavernosa10188	S	NA
Mcavernosa10187	T	ankyrin repeat
Mcavernosa10196	U	LATrophilin
Mcavernosa10203	T	Milk fat globule-EGF factor 8 protein
Mcavernosa10199	S	FA58C
Mcavernosa10214	L	lysine (K)-specific demethylase
Mcavernosa10215	L	lysine (K)-specific demethylase
Mcavernosa10207	I	Phosphatidylinositol glycan anchor biosynthesis, class W
Mcavernosa10205	K	Coactivator-associated arginine methyltransferase 1
Mcavernosa10213	U	tetratricopeptide repeat domain
Mcavernosa10211	U	tetratricopeptide repeat domain
Mcavernosa10226	J	Mitochondrial ribosomal protein L55
Mcavernosa10220	I, Q	WD repeat domain 36
Mcavernosa10223	E	cystinosin
Mcavernosa10218	I, Q	WD repeat domain 36
Mcavernosa10219	I, Q	WD repeat domain 36
Mcavernosa10240	M	phospholipid scramblase
Mcavernosa20985	G	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)
Mcavernosa20981	S	Fanconi anemia complementation group E
Mcavernosa20986	S	Protein of unknown function, DUF288
Mcavernosa20984	T	Protein tyrosine phosphatase, non-receptor type
Mcavernosa20983	S	chromosome 1 open reading frame 50
Mcavernosa20978	S	polyprotein
Mcavernosa20987	S	Protein of unknown function, DUF288
Mcavernosa20991	K	Chromodomain helicase DNA binding protein
Mcavernosa21002	S	chromosome 17 open reading frame 85
Mcavernosa21000	O	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase
Mcavernosa20996	T	Lim protein
Mcavernosa20994	A	RNA polymerase II subunit A C-terminal domain phosphatase
Mcavernosa20993	U	signal sequence receptor, gamma (translocon-associated protein gamma)
Mcavernosa21011	S	mitotic spindle organizing protein
Mcavernosa21003	A, D	Thioredoxin-like protein
Mcavernosa21007	B	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily B member 1
Mcavernosa21005	S	Coiled-coil domain containing 64B
Mcavernosa21004	S	Coiled-coil domain containing 64B
Mcavernosa21012	S	NA
Mcavernosa21008	T	RAS protein activator like 1 (GAP1 like)
Mcavernosa21010	T	RAS protein activator like 1 (GAP1 like)
Mcavernosa21017	S	transmembrane protein 45B
Mcavernosa21020	B	PRP19 PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)
Mcavernosa21019	J	PHD finger protein
Mcavernosa21015	U	member RAS oncogene family
Mcavernosa21022	J	PHD finger protein
Mcavernosa21016	T	Oxysterol binding protein
Mcavernosa21024	O	Ankyrin Repeat Protein
Mcavernosa21018	E	dehydratase
Mcavernosa21023	J	PHD finger protein
Mcavernosa21021	T, U	unc-119 homolog
Mcavernosa21025	U	Major facilitator superfamily
Mcavernosa21027	A	Tat specific factor 1
Mcavernosa21028	A	cell division cycle 40 homolog (S. cerevisiae)
Mcavernosa21026	A	Tat specific factor 1
Mcavernosa21047	U	C. elegans
Mcavernosa21045	C	Ferredoxin
Mcavernosa21048	S	Acetyltransferase (GNAT) family
Mcavernosa21044	S	NA
Mcavernosa21042	U	brefeldin A-inhibited guanine nucleotide-exchange protein
Mcavernosa21040	U	Brefeldin A-inhibited guanine nucleotide-exchange protein
Mcavernosa21051	S	NA
Mcavernosa21053	S	lectin, galactoside-binding, soluble, 3 binding protein
Mcavernosa21054	S	NA
Mcavernosa21049	S	coiled-coil domain containing 174
Mcavernosa21055	S	WSC domain
Mcavernosa21056	S	NA
Mcavernosa21057	T	EGF-like domain
Mcavernosa21058	S	protein Hydra magnipapillata
Mcavernosa21061	T	EGF-like domain
Mcavernosa21059	S	NA
Mcavernosa21060	S	NA
Mcavernosa21072	P	von Willebrand factor A domain containing 7
Mcavernosa21069	S	WSC domain
Mcavernosa21062	T	Immunoglobulin domain
Mcavernosa21067	S	YqaJ-like viral recombinase domain
Mcavernosa21071	S	NA
Mcavernosa21070	P	Carbonic AnHydrase
Mcavernosa21068	S	NA
Mcavernosa21073	P	von Willebrand factor A domain containing 7
Mcavernosa21076	D	Vpr (HIV-1) binding protein
Mcavernosa21077	D	Vpr (HIV-1) binding protein
Mcavernosa21078	D	Vpr (HIV-1) binding protein
Mcavernosa21087	S	NA
Mcavernosa21091	S	plasminogen receptor, C-terminal lysine transmembrane protein
Mcavernosa21085	Q	Cytochrome P450, family 17, subfamily A, polypeptide 1
Mcavernosa21083	S	Inherit from NOG: LicD family
Mcavernosa21095	S	MAC/Perforin domain
Mcavernosa21100	S	Tetratricopeptide repeat
Mcavernosa21098	A	PRP38 pre-mRNA processing factor 38 (Yeast) domain containing A
Mcavernosa21092	S	NA
Mcavernosa21089	J	ribosome biogenesis protein brx1
Mcavernosa21097	T	serine threonine kinase 11
Mcavernosa21093	S	MAC/Perforin domain
Mcavernosa21094	S	MAC/Perforin domain
Mcavernosa21108	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa21116	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa21107	S	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa21109	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa21113	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa21114	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa21111	O	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
